"MARKET_CD","MARKET_NM","HSN_CD","HSN_NM","TOWN_CD","TOWN_NM","ROAD_CD","ROAD_NM","STORE_CD","STORE_NM","ADDR","ISOPEN","ZIP_CD"
"FM","全家便利商店","B","臺中市","109","南屯區","","","10397","台中新文山店","台中市南屯區嶺東路７３０號","Y","408"
"FM","全家便利商店","M","南投縣","161","名間鄉","","","3500","名間松柏店","南投縣名間鄉松山村名松路二段１６７號","Y","551"
"FM","全家便利商店","B","臺中市","125","龍井區","","","12906","龍井龍盈店","台中市龍井區新興路４９巷２號","Y","434"
"FM","全家便利商店","A","臺北市","12","文山區","","","2966","試院店","台北市文山區木柵路一段９１號９３號一樓","Y","116"
"FM","全家便利商店","G","宜蘭縣","50","頭城鎮","","","2503","宜蘭大溪店","宜蘭縣頭城鎮大溪里濱海路五段４７０號４７２號","Y","261"
"FM","全家便利商店","F","新北市","37","樹林區","","","8710","樹林學誠店","新北市樹林區大義路１９６＆１９８號","Y","238"
"FM","全家便利商店","H","桃園市","78","楊梅區","","","10096","楊梅永美店","桃園市楊梅區永美路３９３－１號１Ｆ","Y","326"
"FM","全家便利商店","H","桃園市","77","龍潭區","","","6130","龍潭興龍店","桃園市龍潭區中正路１４８號","Y","325"
"FM","全家便利商店","H","桃園市","75","中壢區","","","15910","中壢米干店","桃園市中壢區龍東路２６０號","Y","320"
"FM","全家便利商店","B","臺中市","117","東勢區","","","3241","東勢客進店","台中市東勢區中正路１號","Y","423"
"FM","全家便利商店","B","臺中市","113","烏日區","","","3101","烏日三民店","台中市烏日區中山路二段２２０號，三民街１３６號","Y","414"
"FM","全家便利商店","D","臺南市","207","永康區","","","15399","永康廣興店","台南市永康區西勢路２０５號","Y","710"
"FM","全家便利商店","D","臺南市","207","永康區","","","7837","永康永勝店","台南市永康區復華七街１１９號１樓","Y","710"
"FM","全家便利商店","D","臺南市","203","南區","","","7341","台南華興店","台南市南區中華南路二段１１０號","Y","702"
"FM","全家便利商店","D","臺南市","225","善化區","","","15882","善化興華店","台南市善化區建國路３８號","Y","741"
